2013	Female	25-34 years	89	2,714,442	3.3
2013	Female	35-44 years	146	2,563,651	5.7
2013	Female	45-54 years	292	2,615,560	11.2
2013	Female	55-64 years	218	2,275,101	9.6
2013	Female	65-74 years	61	1,436,354	4.2
2013	Male	25-34 years	363	2,876,844	12.6
2013	Male	35-44 years	327	2,585,759	12.6
2013	Male	45-54 years	494	2,596,605	19.0
2013	Male	55-64 years	408	2,128,335	19.2
2013	Male	65-74 years	69	1,252,631	5.5
2014	Female	25-34 years	104	2,786,457	3.7
2014	Female	35-44 years	145	2,581,056	5.6
2014	Female	45-54 years	250	2,632,698	9.5
2014	Female	55-64 years	243	2,333,467	10.4
2014	Female	65-74 years	75	1,515,458	4.9
2014	Male	25-34 years	355	2,936,929	12.1
2014	Male	35-44 years	316	2,594,282	12.2
2014	Male	 45-54 years	543	2,610,846	20.8
2014	Male	55-64 years	454	2,186,133	20.8
2014	Male	65-74 years	96	1,318,902	7.3
2015	Female	25-34 years	115	2,840,066	4.0
2015	Female	35-44 years	142	2,584,489	5.5
2015	Female	45-54 years	287	2,633,003	10.9
2015	Female	55-64 years	258	2,386,715	10.8
2015	Female	65-74 years	63	1,591,775	4.0
2015	Male	25-34 years	390	2,995,628	13.0
2015	Male	35-44 years	396	2,603,187	15.2
2015	Male	45-54 years	511	2,613,810	19.6
2015	Male	55-64 years	497	2,243,148	22.2
2015	Male	65-74 years	136	1,385,628	9.8
2016	Female	25-34 years	115	2,878,222	4.0
2016	Female	35-44 years	131	2,567,676	5.1
2016	Female	45-54 years	243	2,608,088	9.3
2016	Female	55-64 years	275	2,415,118	11.4
2016	Female	65-74 years	69	1,652,205	4.2
2016	Male	25-34 years	422	3,039,563	13.9
2016	Male	35-44 years	390	2,592,256	15.0
2016	Male	45-54 years	499	2,587,209	19.3
2016	Male	55-64 years	512	2,273,600	22.5
2016	Male	65-74 years	137	1,436,797	9.5
2017	Female	25-34 years	139	2,918,951	4.8
2017	Female	35-44 years	160	2,593,130	6.2
2017	Female	45-54 years	273	2,591,751	10.5
2017	Female	55-64 years	270	2,450,872	11.0
2017	Female	65-74 years	68	1,708,889	4.0
2017	Male	25-34 years	558	3,104,828	18.0
2017	Male	35-44 years	439	2,629,932	16.7
2017	Male	45-54 years	549	2,570,937	21.4
2017	Male	55-64 years	585	2,311,806	25.3
2017	Male	65-74 years	182	1,486,911	12.2
2018	Female	25-34 years	188	2,924,517	6.4
2018	Female	35-44 years	183	2,602,784	7.0
2018	Female	45-54 years	275	2,546,303	10.8
2018	Female	55-64 years	273	2,456,773	11.1
2018	Female	65-74 years	81	1,756,338	4.6
2018	Male	25-34 years	594	3,119,282	19.0
2018	Male	35-44 years	535	2,652,887	20.2
2018	Male	45-54 years	671	2,525,671	26.6
2018	Male	55-64 years	703	2,324,453	30.2
2018	Male	65-74 years	196	1,529,076	12.8
2019	Female	25-34 years	223	2,926,700	7.6
2019	Female	35-44 years	217	2,609,521	8.3
2019	Female	45-54 years	324	2,499,374	13.0
2019	Female	55-64 years	298	2,455,116	12.1
2019	Female	65-74 years	106	1,809,935	5.9
2019	Male	25-34 years	758	3,126,252	24.2
2019	Male	35-44 years	718	2,672,579	26.9
2019	Male	45-54 years	731	2,480,371	29.5
2019	Male	55-64 years	819	2,331,519	35.1
2019	Male	65-74 years	256	1,576,735	16.2
2020	Female	25-34 years	338	2,907,953	11.6
2020	Female	35-44 years	349	2,615,551	13.3
2020	Female	45-54 years	426	2,465,013	17.3
2020	Female	55-64 years	408	2,437,984	16.7
2020	Female	65-74 years	119	1,854,268	6.4
2020	Male	25-34 years	1,335	3,109,104	42.9
2020	Male	35-44 years	1,166	2,690,198	43.3
2020	Male	45-54 years	1,066	2,445,935	43.6
2020	Male	55-64 years	1,139	2,324,437	49.0
2020	Male	65-74 years	378	1,615,277	23.4
