2021	15-24 years	156	5,110,081	3.1
2021	25-34 years	340	5,839,642	5.8
2021	35-44 years	247	5,406,441	4.6
2021	45-54 years	235	4,927,546	4.8
2021	55-64 years	291	4,777,732	6.1
2021	65-74 years	101	3,558,013	2.8
2013	15-24 years	10	5,586,402	0.18
2013	25-34 years	24	5,591,286	0.4
2013	35-44 years	34	5,149,410	0.7
2013	45-54 years	79	5,212,165	1.5
2013	55-64 years	69	4,403,436	1.6
2013	65-74 years	19	2,688,985	0.7
2014	15-24 years	19	5,551,583	0.3
2014	25-34 years	43	5,723,386	0.8
2014	35-44 years	35	5,175,338	0.7
2014	45-54 years	75	5,243,544	1.4
2014	55-64 years	70	4,519,600	1.5
2014	65-74 years	22	2,834,360	0.8
2015	15-24 years	28	5,484,894	0.5
2015	25-34 years	49	5,835,694	0.8
2015	35-44 years	51	5,187,676	1.0
2015	45-54 years	66	5,246,813	1.3
2015	55-64 years	74	4,629,863	1.6
2015	65-74 years	27	2,977,403	0.9
2016	15-24 years	36	5,392,177	0.7
2016	25-34 years	65	5,917,785	1.1
2016	35-44 years	54	5,159,932	1.0
2016	45-54 years	73	5,195,297	1.4
2016	55-64 years	106	4,688,718	2.3
2016	65-74 years	29	3,089,002	0.9
2017	15-24 years	50	5,330,443	0.9
2017	25-34 years	96	6,023,779	1.6
2017	35-44 years	65	5,223,062	1.2
2017	45-54 years	93	5,162,688	1.8
2017	55-64 years	97	4,762,678	2.0
2017	65-74 years	28	3,195,800	0.9
2018	15-24 years	64	5,257,175	1.2
2018	25-34 years	160	6,043,799	2.6
2018	35-44 years	99	5,255,671	1.9
2018	45-54 years	115	5,071,974	2.3
2018	55-64 years	126	4,781,226	2.6
2018	65-74 years	41	3,285,414	1.2
2019	15-24 years	107	5,180,973	2.1
2019	25-34 years	205	6,052,952	3.4
2019	35-44 years	140	5,282,100	2.7
2019	45-54 years	151	4,979,745	3.0
2019	55-64 years	165	4,786,635	3.4
2019	65-74 years	77	3,386,670	2.3
2020	15-24 years	176	5,111,453	3.4
2020	25-34 years	316	6,017,057	5.3
2020	35-44 years	200	5,305,749	3.8
2020	45-54 years	193	4,910,948	3.9
2020	55-64 years	222	4,762,421	4.7
2020	65-74 years	80	3,469,545	2.3
