county,rate,num1,num2,num3,deaths
Calaveras,77.91,21.23,271.335,38.955,Less than six
Sutter,55.6875,25.3725,134.28,19.0175,Less than six
San Benito,40.235,10.96,140.12,20.115,Less than six
Yuba,37.5175,16.1975,125.8225,13.265,Less than six
Ventura,36.8925,23.32,55.9475,7.81,21
Tuolumne,33.1125,9.0225,176.395,16.5575,Less than six
San Francisco,28.6175,15.965,47.7325,7.49,14
Orange,27.705,21.3725,35.3425,3.445,64
Lake,27.2325,7.42,145.0725,13.6175,Less than six
San Bernardino,27.025,19.9075,35.8925,3.915,47
Riverside,25.4,18.7325,33.7475,3.675,46
Contra Costa,23.0875,13.6125,37.4525,5.6125,15
El Dorado,22.68,8.5875,63.0925,9.125,Less than six
Kern,21.955,12.915,35.0375,5.2625,17
San Diego,19.9925,14.94,26.2075,2.7675,52
Stanislaus,19.3925,9.2325,36.4925,6.2775,9
Los Angeles,19.22,16.215,22.62,1.5975,142
California,18.9375,17.375,20.57,0.8,555
San Mateo,18.8825,8.8425,37.8825,6.15,7
San Joaquin,18.3275,10.335,31.79,4.705,11
Santa Clara,18.1825,11.565,27.2475,3.77,23
San Luis Obispo,17.9,7.16,40.69,6.855,Less than six
Nevada,16.875,4.5975,89.8925,8.4375,Less than six
Sonoma,15.8125,6.6275,35.6875,5.905,Less than six
Solano,15.205,7.34,33.53,4.7825,Less than six
Fresno,14.7775,9.4125,23.915,3.1675,13
Tulare,13.9,5.5575,31.585,5.32,Less than six
Placer,9.015,3.8925,30.235,3.1875,Less than six
Sacramento,8.31,4.255,15.05,2.49,10
Marin,8.1625,2.225,43.48,4.08,Less than six
Humboldt,8.0175,2.185,42.705,4.0075,Less than six
Butte,7.5875,3.275,25.4525,2.6825,Less than six
Kings,7.5325,2.0525,40.1275,3.765,Less than six
Alameda,6.6325,2.94,13.0025,2.3025,8
Monterey,6.025,1.64,20.98,3.01,Less than six
Santa Barbara,4.595,1.9825,15.405,1.625,Less than six
Merced,3.975,1.0825,21.1725,1.9875,Less than six
Yolo,2.9225,0.795,15.5675,1.46,Less than six
Alpine,0.0,0.0,5269.83,0.0,0
Amador,0.0,0.0,163.51,0.0,0
Colusa,0.0,0.0,225.76,0.0,0
Del Norte,0.0,0.0,176.84,0.0,0
Glenn,0.0,0.0,173.11,0.0,0
Imperial,0.0,0.0,24.58,0.0,0
Inyo,0.0,0.0,407.16,0.0,0
Lassen,0.0,0.0,138.52,0.0,0
Madera,0.0,0.0,28.97,0.0,0
Mariposa,0.0,0.0,374.51,0.0,0
Mendocino,0.0,0.0,71.7,0.0,0
Modoc,0.0,0.0,617.9,0.0,0
Mono,0.0,0.0,497.82,0.0,0
Napa,0.0,0.0,39.25,0.0,0
Plumas,0.0,0.0,356.41,0.0,0
Santa Cruz,0.0,0.0,14.27,0.0,0
Shasta,0.0,0.0,33.05,0.0,0
Sierra,0.0,0.0,2395.38,0.0,0
Siskiyou,0.0,0.0,138.78,0.0,0
Tehama,0.0,0.0,91.99,0.0,0
Trinity,0.0,0.0,549.76,0.0,0
Unknown,,0.0,,,7
