California Deaths by County -Total Population - 2017 ,,,,
Fentanyl-Related Overdose  : Crude Rate per 100k Residents,,,,
County,Rates,95% LCL,95% UCL,Counts
Alameda,0.36,0.145,0.78,6
Alpine,0,0,329.36,0
Amador,0,0,9.55,0
Butte,0.435,0.12,2.325,1
Calaveras,0,0,8.08,0
California,1.088,0.99,1.198,431
Colusa,0,0,16.92,0
Contra Costa,1.22,0.685,2.027,14
Del Norte,0,0,13.43,0
El Dorado,0.53,0.145,2.817,1
Fresno,0.402,0.142,1.01,4
Glenn,0,0,13.13,0
Humboldt,0.73,0.2,3.898,1
Imperial,0,0,2.02,0
Inyo,0,0,20.46,0
Kern,1.345,0.73,2.315,12
Kings,0,0,2.46,0
Lake,6.228,2.195,15.54,4
Lassen,0,0,11.84,0
Los Angeles,1.15,0.952,1.38,117
Madera,0,0,2.35,0
Marin,0.765,0.21,2.665,2
Mariposa,0,0,21,0
Mendocino,2.27,0.62,7.915,2
Merced,0,0,1.35,0
Modoc,0,0,41.64,0
Mono,0,0,26.04,0
Monterey,0.228,0.062,1.215,1
Napa,0,0,2.62,0
Nevada,1.002,0.272,5.34,1
Orange,1.47,1.083,1.955,47
Placer,0.26,0.07,1.382,1
Plumas,0,0,19.68,0
Riverside,1.155,0.77,1.663,28
Sacramento,0.588,0.288,1.103,9
San Benito,3.315,0.905,11.55,2
San Bernardino,0.558,0.29,0.968,12
San Diego,2.25,1.77,2.812,75
San Francisco,2.15,1.32,3.33,19
San Joaquin,0.67,0.268,1.52,5
San Luis Obispo,0,0,1.3,0
San Mateo,1.167,0.568,2.188,9
Santa Barbara,2.007,1.28,3.502,9
Santa Clara,0.672,0.36,1.143,13
Santa Cruz,0.362,0.1,1.933,1
Shasta,0.555,0.152,2.96,1
Sierra,0,0,123,0
Siskiyou,2.28,0.622,12.145,1
Solano,0,0,0.83,0
Sonoma,0.792,0.28,1.98,4
Stanislaus,0.548,0.208,1.522,3
Sutter,0,0,3.82,0
Tehama,0,0,5.77,0
Trinity,0,0,29.03,0
Tulare,0,0,0.79,0
Tuolumne,0,0,6.8,0
Unknown,NaN,0,NaN,0
Ventura,2.81,1.838,4.147,24
Yolo,0.458,0.125,2.427,1
Yuba,1.298,0.352,6.918,1
Source: CDPH Center for Health Statistics and Informatics Vital Statistics - Multiple Cause of Death or California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,08.13.2023,,
