California Deaths by County -Total Population - 2016 ,,,,
Any Opioid-Related Overdose : Crude Rate per 100k Residents,,,,
County,Rates,95% LCL,95% UCL,Counts
Alameda,3.095,2.315,4.06,51
Alpine,0,0,344.43,0
Amador,13.375,4.5,31.093,5
Butte,7.495,4.428,11.94,17
Calaveras,13.285,6.268,27.758,6
California,5.195,4.97,5.425,2039
Colusa,9.265,2.525,32.265,2
Contra Costa,4.67,3.5,6.107,53
Del Norte,10.893,4.125,30.303,3
El Dorado,4.847,2.31,9.125,9
Fresno,7.143,5.595,9,70
Glenn,3.56,0.97,18.965,1
Humboldt,24.15,16.795,33.75,33
Imperial,6.633,3.458,11.562,12
Inyo,16.538,4.508,47.42,3
Kern,6.103,4.623,7.928,54
Kings,4.005,1.795,8.453,6
Lake,15.598,7.755,28.442,10
Lassen,22.678,9.585,46.33,7
Los Angeles,3.485,3.13,3.865,353
Madera,7.11,3.595,12.683,11
Marin,5.37,3.01,8.95,14
Mariposa,5.745,1.565,30.6,1
Mendocino,19.398,11.457,30.918,17
Merced,8.562,5.498,12.777,23
Modoc,0,0,41.94,0
Mono,7.152,1.95,38.097,1
Monterey,2.76,1.453,4.79,12
Napa,1.405,0.385,4.895,2
Nevada,8.072,4.147,15.355,8
Orange,9.107,8.093,10.225,289
Placer,3.678,2.123,6.072,14
Plumas,0,0,19.8,0
Riverside,4.775,3.94,5.735,114
Sacramento,3.632,2.748,4.715,55
San Benito,3.365,0.915,11.725,2
San Bernardino,1.683,1.185,2.32,36
San Diego,7.627,6.72,8.623,253
San Francisco,10.793,8.727,13.203,94
San Joaquin,7.223,5.428,9.432,53
San Luis Obispo,7.423,4.728,11.22,21
San Mateo,2.745,1.718,4.18,21
Santa Barbara,7.173,4.915,10.115,32
Santa Clara,3.545,2.763,4.482,68
Santa Cruz,12.742,8.925,17.675,35
Shasta,9.463,5.565,15.105,17
Sierra,0,0,125.17,0
Siskiyou,22.933,11.29,41.925,10
Solano,3.41,1.985,5.545,15
Sonoma,4.973,3.223,7.33,25
Stanislaus,2.585,1.432,4.32,14
Sutter,4.14,1.785,10.065,4
Tehama,3.16,1.365,10.6,2
Trinity,15.645,4.265,54.495,2
Tulare,3.04,1.67,5.095,14
Tuolumne,13.01,6.362,25.87,7
Unknown,NaN,0,NaN,0
Ventura,5.18,3.76,6.95,44
Yolo,4.17,1.963,7.868,9
Yuba,6.643,2.657,15.098,5
Source: CDPH Center for Health Statistics and Informatics Vital Statistics - Multiple Cause of Death or California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,08.12.2023,,
