California Deaths by County -Total Population - 2019 ,,,,
Any Opioid and Psychostimulant with Abuse Potential-Related Overdose : Crude Rate per 100k Residents,,,,
County,Rates,95% LCL,95% UCL,Counts
Alameda,1.19,0.728,1.835,20
Alpine,0,0,358.84,0
Amador,0,0,9.31,0
Butte,3.008,1.27,6.143,7
Calaveras,4.393,1.895,14.727,2
California,2.898,2.732,3.071,1145
Colusa,9.182,3.965,30.798,2
Contra Costa,2.837,1.962,3.975,33
Del Norte,0,0,13.23,0
El Dorado,2.09,0.735,5.215,4
Fresno,1.095,0.572,1.938,11
Glenn,3.547,0.968,18.902,1
Humboldt,5.11,2.268,10.35,7
Imperial,2.172,0.765,5.42,4
Inyo,0,0,20.49,0
Kern,5.4,4.002,7.13,49
Kings,0,0,2.42,0
Lake,18.6,9.765,32.355,12
Lassen,9.72,2.648,27.883,3
Los Angeles,2.373,2.085,2.692,241
Madera,0,0,2.31,0
Marin,2.688,1.315,5.345,7
Mariposa,11.51,3.135,40.085,2
Mendocino,12.495,6.433,22.2,11
Merced,1.8,0.602,4.178,5
Modoc,0,0,42.78,0
Mono,0,0,26.09,0
Monterey,0.455,0.198,1.527,2
Napa,0,0,2.63,0
Nevada,3.998,2.285,9.26,4
Orange,2.59,2.07,3.202,83
Placer,1.762,0.742,3.592,7
Plumas,0,0,19.69,0
Riverside,3.055,2.413,3.815,76
Sacramento,2.822,2.06,3.777,44
San Benito,3.22,0.875,11.21,2
San Bernardino,1.732,1.228,2.375,38
San Diego,3.742,3.117,4.457,126
San Francisco,17.238,14.645,20.165,153
San Joaquin,1.7,1.005,2.825,13
San Luis Obispo,1.75,0.845,3.86,5
San Mateo,1.678,0.948,2.82,13
Santa Barbara,0.89,0.312,2.222,4
Santa Clara,1.84,1.29,2.547,36
Santa Cruz,5.065,2.775,8.49,14
Shasta,4.433,1.962,8.685,8
Sierra,0,0,125.05,0
Siskiyou,0,0,8.45,0
Solano,3.542,2.027,5.745,16
Sonoma,4.173,2.63,6.332,21
Stanislaus,3.053,1.81,4.86,17
Sutter,0,0,3.77,0
Tehama,0,0,5.75,0
Trinity,0,0,30.13,0
Tulare,0,0,0.78,0
Tuolumne,1.832,0.5,9.76,1
Unknown,NaN,0,NaN,3
Ventura,3.86,2.663,5.415,33
Yolo,1.797,0.633,4.485,4
Yuba,1.27,0.345,6.76,1
Source: CDPH Center for Health Statistics and Informatics Vital Statistics - Multiple Cause of Death or California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,08.13.2023,,
