California Deaths by County -Total Population - 2013 ,,,,
Any Opioid-Related Overdose : Crude Rate per 100k Residents,,,,
County,Rates,95% LCL,95% UCL,Counts
Alameda,2.78,2.022,3.725,44
Alpine,0,0,322.45,0
Amador,8.197,2.235,23.512,3
Butte,4.5,2.46,8.025,10
Calaveras,6.73,2.55,18.725,3
California,5.035,4.812,5.268,1934
Colusa,9.35,2.55,32.565,2
Contra Costa,3.83,2.782,5.162,42
Del Norte,25.165,10.287,51.697,7
El Dorado,1.1,0.3,3.835,2
Fresno,5.235,3.895,6.89,50
Glenn,7.157,3.09,24.002,2
Humboldt,14.855,9.215,22.815,20
Imperial,6.197,3.103,11.07,11
Inyo,16.302,6.172,45.347,3
Kern,5.197,3.8,6.947,45
Kings,5.97,2.808,11.268,9
Lake,29.782,18.59,45.907,19
Lassen,15.537,6.213,35.318,5
Los Angeles,2.91,2.585,3.26,292
Madera,7.89,4.11,13.75,12
Marin,3.48,1.64,6.57,9
Mariposa,5.64,1.538,30.038,1
Mendocino,12.59,6.738,22.133,11
Merced,6.457,3.815,10.287,17
Modoc,10.977,2.99,58.473,1
Mono,0,0,26.28,0
Monterey,6.06,3.967,8.87,26
Napa,4.275,1.915,9.02,6
Nevada,8.152,3.618,15.98,8
Orange,7.85,6.9,8.9,245
Placer,3.27,1.752,5.657,12
Plumas,31.845,15.025,66.552,6
Riverside,5.617,4.7,6.67,129
Sacramento,7.588,6.253,9.135,111
San Benito,8.68,3.473,19.725,5
San Bernardino,2.723,2.08,3.515,57
San Diego,8.065,7.115,9.107,260
San Francisco,8.922,7.03,11.17,75
San Joaquin,9.082,6.992,11.595,64
San Luis Obispo,7.602,4.78,11.547,21
San Mateo,2.668,1.65,4.098,20
Santa Barbara,3.895,2.28,6.23,17
Santa Clara,2.835,2.13,3.698,53
Santa Cruz,10.025,6.74,14.463,27
Shasta,11.73,7.473,17.73,21
Sierra,0,0,121.54,0
Siskiyou,0,0,8.45,0
Solano,2.828,1.505,4.895,12
Sonoma,2.425,1.32,4.173,12
Stanislaus,3.42,2.083,5.353,18
Sutter,7.367,3.112,15.052,7
Tehama,3.175,0.865,11.06,2
Trinity,22.328,11.537,59.597,3
Tulare,3.96,2.43,6.19,18
Tuolumne,11.125,4.98,23.477,6
Unknown,NaN,0,NaN,0
Ventura,7.728,5.985,9.832,65
Yolo,3.865,1.765,7.54,8
Yuba,0,0,5.03,0
Source: CDPH Center for Health Statistics and Informatics Vital Statistics - Multiple Cause of Death or California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,08.12.2023,,
