California Deaths by County -Total Population - 2020 ,,,,
Any Opioid and Psychostimulant with Abuse Potential-Related Overdose : Crude Rate per 100k Residents,,,,
County,Rates,95% LCL,95% UCL,Counts
Alameda,2.377,1.718,3.222,40
Alpine,0,0,329.95,0
Amador,2.493,0.68,13.272,1
Butte,6.34,3.735,10.4,14
Calaveras,0,0,8.03,0
California,5.569,5.341,5.806,2209
Colusa,0,0,16.99,0
Contra Costa,3.97,2.913,5.29,46
Del Norte,7.15,1.95,24.905,2
El Dorado,5.622,2.845,10.027,11
Fresno,1.982,1.212,3.06,20
Glenn,3.498,0.952,18.628,1
Humboldt,5.933,2.632,11.627,8
Imperial,12.027,7.76,18.008,22
Inyo,5.53,1.508,29.462,1
Kern,10.998,8.977,13.343,100
Kings,1.935,0.732,5.38,3
Lake,15.5,7.707,28.275,10
Lassen,3.245,0.885,17.282,1
Los Angeles,5.487,5.04,5.965,550
Madera,0.63,0.172,3.362,1
Marin,5.812,3.377,9.475,15
Mariposa,0,0,21.44,0
Mendocino,13.842,7.67,23.712,12
Merced,2.485,1.165,4.987,7
Modoc,0,0,41.68,0
Mono,0,0,25.56,0
Monterey,1.377,0.615,2.907,6
Napa,2.185,0.828,6.08,3
Nevada,8.015,3.97,15.373,8
Orange,6.598,5.747,7.535,210
Placer,3.465,1.895,5.81,14
Plumas,0,0,19.42,0
Riverside,5.93,5.015,6.967,148
Sacramento,2.297,1.62,3.17,36
San Benito,4.688,1.275,13.44,3
San Bernardino,4.408,3.58,5.373,97
San Diego,6.57,5.747,7.48,220
San Francisco,27.445,24.117,31.11,241
San Joaquin,4.272,2.965,5.973,33
San Luis Obispo,10.595,7.23,15.05,30
San Mateo,2.73,1.718,4.155,21
Santa Barbara,0.445,0.12,1.555,2
Santa Clara,2.542,1.885,3.348,49
Santa Cruz,4.03,2.093,7.14,11
Shasta,6.637,3.537,11.508,12
Sierra,0,0,121.99,0
Siskiyou,11.49,4.812,25.933,5
Solano,3.105,1.792,5.128,14
Sonoma,9.133,6.688,12.193,45
Stanislaus,6.66,4.772,9.103,37
Sutter,5.05,2.115,11.39,5
Tehama,0,0,5.62,0
Trinity,0,0,30.17,0
Tulare,1.912,0.93,3.585,9
Tuolumne,1.84,0.502,9.803,1
Unknown,NaN,0,NaN,36
Ventura,5.328,3.945,7.072,45
Yolo,0.45,0.122,2.4,1
Yuba,2.5,0.68,8.71,2
Source: CDPH Center for Health Statistics and Informatics Vital Statistics - Multiple Cause of Death or California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,08.13.2023,,
