California Deaths by County -Total Population - 2021 ,,,,
Prescription Opioid-Related Overdose (excl Synthetics) : Crude Rate per 100k Residents,,,,
County,Rates,95% LCL,95% UCL,Counts
Alameda,2.915,2.167,3.852,49
Alpine,0,0,325.59,0
Amador,5.265,1.435,18.335,2
Butte,9.693,6.29,14.485,22
Calaveras,6.795,2.573,18.9,3
California,3.101,2.931,3.279,1239
Colusa,0,0,16.19,0
Contra Costa,1.98,1.258,2.973,23
Del Norte,3.725,1.015,19.845,1
El Dorado,8.99,5.46,14.197,17
Fresno,2.152,1.37,3.242,22
Glenn,3.428,0.932,18.253,1
Humboldt,15.645,9.76,23.848,21
Imperial,1.045,0.285,3.635,2
Inyo,0,0,20.3,0
Kern,8.365,6.605,10.447,77
Kings,3.225,1.083,7.49,5
Lake,20.258,10.885,34.55,13
Lassen,3.337,0.91,17.777,1
Los Angeles,1.51,1.282,1.768,154
Madera,4.97,2.14,9.78,8
Marin,5.038,2.718,8.578,13
Mariposa,5.69,1.55,30.315,1
Mendocino,15.855,8.69,26.585,14
Merced,3.15,1.482,5.94,9
Modoc,21.315,5.805,74.225,2
Mono,0,0,26.66,0
Monterey,1.35,0.602,2.845,6
Napa,2.152,0.815,5.99,3
Nevada,16.32,9.363,26.48,16
Orange,4.58,3.872,5.38,147
Placer,4.037,2.342,6.527,16
Plumas,5.23,1.425,27.855,1
Riverside,2.825,2.205,3.567,70
Sacramento,4.688,3.685,5.873,73
San Benito,4.86,1.328,13.938,3
San Bernardino,0.82,0.49,1.288,18
San Diego,3.08,2.518,3.732,103
San Francisco,5.605,4.197,7.345,50
San Joaquin,4.258,2.94,5.968,33
San Luis Obispo,6.82,4.145,10.617,19
San Mateo,1.29,0.642,2.35,10
Santa Barbara,0.44,0.12,1.535,2
Santa Clara,1.722,1.195,2.405,34
Santa Cruz,2.907,1.525,5.505,8
Shasta,3.4,1.29,7.365,6
Sierra,0,0,119.07,0
Siskiyou,11.54,3.882,26.828,5
Solano,2.695,1.423,4.683,12
Sonoma,3.195,1.86,5.157,16
Stanislaus,4.982,3.323,7.19,28
Sutter,5.038,2.015,11.455,5
Tehama,1.562,0.425,8.33,1
Trinity,7.588,2.067,40.42,1
Tulare,2.283,1.3,3.95,11
Tuolumne,3.865,1.67,12.965,2
Unknown,NaN,0,NaN,24
Ventura,6.12,4.58,8.01,52
Yolo,0.442,0.12,2.355,1
Yuba,3.84,1.455,10.682,3
Source: CDPH Center for Health Statistics and Informatics Vital Statistics - Multiple Cause of Death or California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,08.13.2023,,
