California Deaths by County -Total Population - 2021 ,,,,
Any Opioid and Psychostimulant with Abuse Potential-Related Overdose : Crude Rate per 100k Residents,,,,
County,Rates,95% LCL,95% UCL,Counts
Alameda,4.287,3.367,5.395,72
Alpine,0,0,325.59,0
Amador,10.53,4.798,25.39,4
Butte,14.982,10.467,20.852,34
Calaveras,4.53,1.235,15.775,2
California,8.235,7.956,8.521,3290
Colusa,0,0,16.19,0
Contra Costa,7.588,6.1,9.34,88
Del Norte,14.902,5.247,37.197,4
El Dorado,5.82,3.115,10.23,11
Fresno,2.742,1.837,3.95,28
Glenn,6.855,1.865,23.865,2
Humboldt,15.645,9.69,23.91,21
Imperial,6.782,3.645,11.572,13
Inyo,16.508,4.5,47.345,3
Kern,16.727,14.195,19.582,154
Kings,3.225,1.083,7.49,5
Lake,31.165,19.133,48.043,20
Lassen,6.675,1.82,23.245,2
Los Angeles,7.593,7.065,8.143,774
Madera,4.348,1.775,8.925,7
Marin,9.685,6.373,14.195,25
Mariposa,5.69,1.55,30.315,1
Mendocino,29.445,19.407,42.983,26
Merced,4.9,2.783,8.123,14
Modoc,0,0,39.31,0
Mono,0,0,26.66,0
Monterey,1.125,0.467,2.535,5
Napa,5.74,3.305,10.625,8
Nevada,7.14,3.343,14.327,7
Orange,11.185,10.06,12.405,359
Placer,5.805,3.708,8.678,23
Plumas,5.23,1.425,27.855,1
Riverside,8.475,7.37,9.697,210
Sacramento,5.58,4.48,6.877,87
San Benito,4.86,1.328,13.938,3
San Bernardino,6.275,5.275,7.402,138
San Diego,11.335,10.223,12.535,379
San Francisco,24.988,21.83,28.477,223
San Joaquin,8.125,6.29,10.35,63
San Luis Obispo,11.848,8.165,16.63,33
San Mateo,4.775,3.367,6.575,37
Santa Barbara,3.75,2.205,5.98,17
Santa Clara,3.495,2.728,4.412,69
Santa Cruz,6.545,3.95,10.28,18
Shasta,6.8,3.54,11.855,12
Sierra,0,0,119.07,0
Siskiyou,9.232,3.252,23.047,4
Solano,4.49,2.763,6.92,20
Sonoma,10.98,8.283,14.283,55
Stanislaus,9.43,7.08,12.322,53
Sutter,8.065,3.995,15.467,8
Tehama,1.562,0.425,8.33,1
Trinity,0,0,27.99,0
Tulare,4.98,3.225,7.38,24
Tuolumne,5.798,2.197,16.133,3
Unknown,NaN,0,NaN,41
Ventura,8.117,6.328,10.26,69
Yolo,0.885,0.24,3.08,2
Yuba,10.24,4.67,19.97,8
Source: CDPH Center for Health Statistics and Informatics Vital Statistics - Multiple Cause of Death or California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,08.13.2023,,
