California Deaths by County -Total Population - 2019 ,,,,
Prescription Opioid-Related Overdose (excl Synthetics) : Crude Rate per 100k Residents,,,,
County,Rates,95% LCL,95% UCL,Counts
Alameda,1.96,1.353,2.75,33
Alpine,0,0,358.84,0
Amador,7.575,2.868,21.07,3
Butte,3.008,1.27,6.143,7
Calaveras,6.588,2.493,18.325,3
California,2.723,2.563,2.891,1076
Colusa,9.182,3.965,30.798,2
Contra Costa,2.922,2.035,4.072,34
Del Norte,3.585,0.978,19.102,1
El Dorado,3.135,1.238,6.75,6
Fresno,2.39,1.535,3.548,24
Glenn,0,0,13.09,0
Humboldt,9.49,5.125,16.163,13
Imperial,1.63,0.617,4.53,3
Inyo,5.555,1.512,29.59,1
Kern,4.96,3.622,6.627,45
Kings,1.31,0.355,4.565,2
Lake,20.15,12.033,33.345,13
Lassen,12.963,4.562,32.358,4
Los Angeles,1.82,1.57,2.105,185
Madera,6.275,3.12,11.44,10
Marin,1.535,0.665,3.735,4
Mariposa,23.02,8.105,57.455,4
Mendocino,10.225,5.505,18.718,9
Merced,4.673,2.575,7.912,13
Modoc,0,0,42.78,0
Mono,0,0,26.09,0
Monterey,0.682,0.26,1.9,3
Napa,0.715,0.195,3.8,1
Nevada,7,3.275,14.04,7
Orange,3.12,2.538,3.792,100
Placer,4.02,2.365,6.465,16
Plumas,5.338,1.455,28.435,1
Riverside,2.09,1.575,2.728,52
Sacramento,3.915,2.998,5.018,61
San Benito,1.61,0.438,8.575,1
San Bernardino,1.185,0.782,1.73,26
San Diego,2.795,2.265,3.418,94
San Francisco,8.447,6.65,10.588,75
San Joaquin,2.357,1.423,3.7,18
San Luis Obispo,1.05,0.397,2.92,3
San Mateo,3.482,2.337,5.033,27
Santa Barbara,0.445,0.192,1.492,2
Santa Clara,1.635,1.135,2.295,32
Santa Cruz,5.065,2.805,8.465,14
Shasta,3.325,1.255,7.2,6
Sierra,0,0,125.05,0
Siskiyou,2.29,0.625,12.203,1
Solano,2.435,1.228,4.343,11
Sonoma,5.362,3.56,7.785,27
Stanislaus,3.95,2.482,5.975,22
Sutter,1.022,0.278,5.447,1
Tehama,1.56,0.425,8.305,1
Trinity,16.335,4.45,56.885,2
Tulare,1.275,0.48,2.765,6
Tuolumne,1.832,0.5,9.76,1
Unknown,NaN,0,NaN,2
Ventura,4.442,3.155,6.09,38
Yolo,1.797,0.633,4.485,4
Yuba,2.54,1.095,8.512,2
Source: CDPH Center for Health Statistics and Informatics Vital Statistics - Multiple Cause of Death or California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,08.13.2023,,
