California Deaths by County -Total Population - 2018 ,,,,
Prescription Opioid-Related Overdose (excl Synthetics) : Crude Rate per 100k Residents,,,,
County,Rates,95% LCL,95% UCL,Counts
Alameda,1.8,1.223,2.562,30
Alpine,0,0,335.05,0
Amador,0,0,9.37,0
Butte,6.488,3.693,10.64,15
Calaveras,4.385,1.195,15.275,2
California,2.758,2.6,2.925,1091
Colusa,0,0,17.06,0
Contra Costa,3.912,2.857,5.232,45
Del Norte,0,0,13.26,0
El Dorado,1.575,0.595,4.375,3
Fresno,3.018,2.06,4.282,30
Glenn,0,0,13.15,0
Humboldt,9.53,5.487,15.935,13
Imperial,1.65,0.45,4.73,3
Inyo,11.12,3.03,38.725,2
Kern,5.798,4.34,7.595,52
Kings,1.982,0.75,5.515,3
Lake,24.85,14.747,39.873,16
Lassen,9.74,3.688,27.098,3
Los Angeles,2.067,1.795,2.37,209
Madera,2.538,0.892,6.335,4
Marin,1.925,0.808,4.343,5
Mariposa,0,0,21.11,0
Mendocino,13.7,7.928,23.207,12
Merced,4.005,2.092,7.085,11
Modoc,0,0,42.03,0
Mono,0,0,25.89,0
Monterey,0.23,0.062,1.225,1
Napa,2.152,0.815,5.99,3
Nevada,3.007,0.818,8.627,3
Orange,3.36,2.758,4.053,107
Placer,1.525,0.58,3.31,6
Plumas,5.317,1.45,28.33,1
Riverside,0.94,0.598,1.408,23
Sacramento,2.402,1.698,3.302,37
San Benito,3.25,0.885,11.315,2
San Bernardino,1.06,0.672,1.585,23
San Diego,3.59,2.98,4.285,120
San Francisco,7.928,6.18,10.01,70
San Joaquin,1.592,0.865,2.745,12
San Luis Obispo,2.468,1.155,4.945,7
San Mateo,3.64,2.45,5.23,28
Santa Barbara,1.12,0.445,2.545,5
Santa Clara,1.755,1.215,2.45,34
Santa Cruz,3.648,1.812,6.648,10
Shasta,2.22,0.785,5.548,4
Sierra,0,0,123.5,0
Siskiyou,2.288,0.622,12.185,1
Solano,2.688,1.432,4.655,12
Sonoma,2.8,1.592,4.645,14
Stanislaus,4.185,2.715,6.22,23
Sutter,4.13,1.458,10.312,4
Tehama,3.13,0.855,10.895,2
Trinity,15.955,6.888,53.51,2
Tulare,1.29,0.555,2.732,6
Tuolumne,0,0,6.76,0
Unknown,NaN,0,NaN,21
Ventura,5.64,4.2,7.44,48
Yolo,0.452,0.122,2.415,1
Yuba,3.845,1.458,10.695,3
Source: CDPH Center for Health Statistics and Informatics Vital Statistics - Multiple Cause of Death or California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,08.13.2023,,
