California Deaths by County -Total Population - 2017 ,,,,
Any Opioid-Related Overdose : Crude Rate per 100k Residents,,,,
County,Rates,95% LCL,95% UCL,Counts
Alameda,2.223,1.587,3.048,37
Alpine,0,0,329.36,0
Amador,5.18,1.41,18.03,2
Butte,7.415,4.407,11.787,17
Calaveras,2.19,0.598,11.668,1
California,5.55,5.317,5.785,2194
Colusa,0,0,16.92,0
Contra Costa,4.532,3.405,5.923,52
Del Norte,14.56,5.128,36.343,4
El Dorado,2.648,1.11,5.97,5
Fresno,4.75,3.502,6.31,47
Glenn,0,0,13.13,0
Humboldt,20.473,13.655,29.543,28
Imperial,4.377,1.942,8.578,8
Inyo,5.548,1.512,29.55,1
Kern,8.4,6.62,10.508,75
Kings,3.995,1.888,8.352,6
Lake,20.235,11.422,34.025,13
Lassen,16.045,7.745,35.38,5
Los Angeles,4.397,3.998,4.822,447
Madera,3.825,1.505,8.238,6
Marin,5.75,3.317,9.387,15
Mariposa,5.692,1.55,30.322,1
Mendocino,19.312,11.758,30.468,17
Merced,4.765,2.612,8.088,13
Modoc,33.862,12.823,94.205,3
Mono,0,0,26.04,0
Monterey,1.6,0.655,3.285,7
Napa,2.835,1.225,6.9,4
Nevada,6.008,2.595,12.768,6
Orange,7.99,7.043,9.035,255
Placer,4.66,2.868,7.268,18
Plumas,5.335,1.455,28.422,1
Riverside,5.777,4.865,6.815,140
Sacramento,3.985,3.05,5.117,61
San Benito,9.947,3.927,21.425,6
San Bernardino,2.64,2.015,3.413,57
San Diego,8.51,7.55,9.558,284
San Francisco,11.195,9.123,13.605,99
San Joaquin,9.258,7.22,11.697,69
San Luis Obispo,7.41,4.685,11.237,21
San Mateo,5.185,3.728,7.04,40
Santa Barbara,7.143,4.92,10.047,32
Santa Clara,3.458,2.68,4.388,67
Santa Cruz,6.525,3.95,10.23,18
Shasta,13.34,8.648,19.753,24
Sierra,0,0,123,0
Siskiyou,9.12,3.94,22.18,4
Solano,2.245,1.115,4.095,10
Sonoma,5.952,4.037,8.47,30
Stanislaus,3.285,1.992,5.155,18
Sutter,2.07,0.565,7.21,2
Tehama,0,0,5.77,0
Trinity,7.867,2.145,41.92,1
Tulare,2.368,1.373,4.07,11
Tuolumne,9.217,3.688,20.95,5
Unknown,NaN,0,NaN,0
Ventura,9.953,7.95,12.3,85
Yolo,3.195,1.498,6.408,7
Yuba,11.685,6.1,21.547,9
Source: CDPH Center for Health Statistics and Informatics Vital Statistics - Multiple Cause of Death or California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,08.12.2023,,
