California Deaths by County -Total Population - 2018 ,,,,
Any Opioid and Psychostimulant with Abuse Potential-Related Overdose : Crude Rate per 100k Residents,,,,
County,Rates,95% LCL,95% UCL,Counts
Alameda,0.6,0.295,1.103,10
Alpine,0,0,335.05,0
Amador,0,0,9.37,0
Butte,0.865,0.235,3.015,2
Calaveras,0,0,8.09,0
California,2.042,1.905,2.188,808
Colusa,0,0,17.06,0
Contra Costa,2.085,1.35,3.093,24
Del Norte,0,0,13.26,0
El Dorado,1.05,0.452,3.515,2
Fresno,0.3,0.082,0.865,3
Glenn,3.565,0.972,18.992,1
Humboldt,5.133,2.475,10.237,7
Imperial,4.4,2.208,8.415,8
Inyo,11.12,3.03,38.725,2
Kern,4.795,3.482,6.45,43
Kings,0,0,2.44,0
Lake,13.978,6.803,26.185,9
Lassen,3.248,0.885,17.297,1
Los Angeles,1.542,1.312,1.807,156
Madera,0.635,0.172,3.38,1
Marin,0.385,0.105,2.05,1
Mariposa,0,0,21.11,0
Mendocino,7.992,3.85,15.94,7
Merced,2.55,1.08,5.207,7
Modoc,0,0,42.03,0
Mono,0,0,25.89,0
Monterey,0.46,0.125,1.6,2
Napa,0,0,2.65,0
Nevada,4.01,1.73,9.755,4
Orange,2.855,2.305,3.505,91
Placer,0.765,0.21,2.192,3
Plumas,5.317,1.45,28.33,1
Riverside,2.04,1.515,2.688,50
Sacramento,1.04,0.6,1.68,16
San Benito,1.625,0.442,8.652,1
San Bernardino,1.98,1.442,2.658,43
San Diego,2.57,2.062,3.173,86
San Francisco,7.018,5.407,8.973,62
San Joaquin,0.928,0.39,1.9,7
San Luis Obispo,0.705,0.305,2.362,2
San Mateo,1.04,0.462,2.038,8
Santa Barbara,2.463,1.39,4.275,11
Santa Clara,1.342,0.885,1.958,26
Santa Cruz,2.553,1.312,5.018,7
Shasta,2.777,1.165,6.268,5
Sierra,0,0,123.5,0
Siskiyou,0,0,8.44,0
Solano,0.898,0.312,2.235,4
Sonoma,4.4,2.785,6.637,22
Stanislaus,1.822,1.015,3.225,10
Sutter,3.098,1.175,8.62,3
Tehama,0,0,5.77,0
Trinity,0,0,29.43,0
Tulare,0.215,0.058,1.143,1
Tuolumne,0,0,6.76,0
Unknown,NaN,0,NaN,19
Ventura,4.23,2.97,5.852,36
Yolo,0.905,0.245,3.16,2
Yuba,2.565,0.7,8.925,2
Source: CDPH Center for Health Statistics and Informatics Vital Statistics - Multiple Cause of Death or California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,08.13.2023,,
