California Deaths by County -Total Population - 2014 ,,,,
Prescription Opioid-Related Overdose (excl Synthetics) : Crude Rate per 100k Residents,,,,
County,Rates,95% LCL,95% UCL,Counts
Alameda,2.235,1.565,3.087,36
Alpine,0,0,333.23,0
Amador,16.33,9.055,33.002,6
Butte,5.357,3.075,9.1,12
Calaveras,2.243,0.612,11.955,1
California,3.39,3.208,3.578,1315
Colusa,0,0,17.28,0
Contra Costa,3.42,2.425,4.683,38
Del Norte,3.678,1.002,19.593,1
El Dorado,2.735,1.147,6.162,5
Fresno,6.942,5.395,8.805,67
Glenn,10.703,4.053,29.775,3
Humboldt,16.315,10.43,24.512,22
Imperial,3.345,1.27,7.25,6
Inyo,0,0,20.05,0
Kern,4.692,3.422,6.308,41
Kings,3.328,1.123,7.74,5
Lake,21.818,12.36,36.233,14
Lassen,12.607,4.435,31.468,4
Los Angeles,1.87,1.615,2.157,189
Madera,5.178,2.295,10.147,8
Marin,1.152,0.438,3.205,3
Mariposa,22.68,10.335,54.693,4
Mendocino,11.405,5.505,20.945,10
Merced,3.757,2.175,6.593,10
Modoc,11.092,3.022,59.093,1
Mono,0,0,26.24,0
Monterey,2.78,1.46,4.835,12
Napa,2.828,0.995,7.058,4
Nevada,3.037,1.15,8.453,3
Orange,5.66,4.86,6.555,178
Placer,1.618,0.635,3.482,6
Plumas,21.54,9.3,52.375,4
Riverside,2.62,2.01,3.36,61
Sacramento,2.7,1.938,3.67,40
San Benito,3.43,0.935,11.945,2
San Bernardino,1.14,0.732,1.688,24
San Diego,4.103,3.44,4.857,134
San Francisco,8.093,6.33,10.213,69
San Joaquin,8.39,6.417,10.783,60
San Luis Obispo,2.865,1.305,5.59,8
San Mateo,2.24,1.332,3.57,17
Santa Barbara,2.723,1.45,4.712,12
Santa Clara,2.268,1.645,3.053,43
Santa Cruz,8.11,5.115,12.24,22
Shasta,11.683,7.362,17.738,21
Sierra,0,0,123.83,0
Siskiyou,4.6,1.255,16.025,2
Solano,3.947,2.36,6.263,17
Sonoma,3.8,2.308,5.92,19
Stanislaus,2.067,1.08,3.66,11
Sutter,2.09,0.57,7.285,2
Tehama,0,0,5.86,0
Trinity,7.617,2.075,40.578,1
Tulare,1.528,0.65,3.128,7
Tuolumne,7.428,3.382,17.905,4
Unknown,NaN,0,NaN,0
Ventura,4.61,3.292,6.287,39
Yolo,2.865,1.282,6.05,6
Yuba,1.353,0.37,7.207,1
Source: CDPH Center for Health Statistics and Informatics Vital Statistics - Multiple Cause of Death or California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,08.13.2023,,
