California Deaths by County -Total Population - 2019 ,,,,
Any Opioid-Related Overdose : Crude Rate per 100k Residents,,,,
County,Rates,95% LCL,95% UCL,Counts
Alameda,6.117,5.013,7.407,103
Alpine,0,0,358.84,0
Amador,12.625,5.048,28.692,5
Butte,5.152,2.683,8.982,12
Calaveras,8.783,4,21.18,4
California,8.21,7.931,8.497,3244
Colusa,13.775,5.215,38.318,3
Contra Costa,7.825,6.31,9.6,91
Del Norte,3.585,0.978,19.102,1
El Dorado,5.225,2.52,9.59,10
Fresno,4.775,3.525,6.325,48
Glenn,3.547,0.968,18.902,1
Humboldt,17.52,11.25,26.04,24
Imperial,6.518,3.475,11.297,12
Inyo,11.11,4.795,37.258,2
Kern,12.893,10.665,15.45,117
Kings,1.31,0.355,4.565,2
Lake,35.65,22.782,53.325,23
Lassen,22.685,9.588,46.352,7
Los Angeles,6.962,6.463,7.497,707
Madera,8.158,4.47,13.832,13
Marin,8.445,5.4,12.688,22
Mariposa,23.02,8.105,57.455,4
Mendocino,20.453,12.312,32.142,18
Merced,7.188,4.435,11.065,20
Modoc,0,0,42.78,0
Mono,0,0,26.09,0
Monterey,4.555,2.815,7.002,20
Napa,2.143,0.812,5.957,3
Nevada,9.998,5.385,17.89,10
Orange,8.488,7.51,9.555,272
Placer,7.54,5.112,10.735,30
Plumas,10.675,4.61,35.803,2
Riverside,9.848,8.655,11.158,245
Sacramento,7.633,6.33,9.125,119
San Benito,8.047,3.37,18.157,5
San Bernardino,6.062,5.078,7.18,133
San Diego,9.332,8.33,10.425,314
San Francisco,31.43,27.898,35.3,279
San Joaquin,5.105,3.643,6.968,39
San Luis Obispo,7.35,4.76,11.043,21
San Mateo,8.387,6.485,10.683,65
Santa Barbara,5.785,3.788,8.465,26
Santa Clara,4.497,3.612,5.537,88
Santa Cruz,10.492,7.032,15.065,29
Shasta,9.973,5.935,15.735,18
Sierra,0,0,125.05,0
Siskiyou,4.58,1.25,15.955,2
Solano,7.53,5.225,10.51,34
Sonoma,12.91,9.985,16.435,65
Stanislaus,8.262,6.062,11.005,46
Sutter,3.067,0.832,8.803,3
Tehama,1.56,0.425,8.305,1
Trinity,16.335,4.45,56.885,2
Tulare,2.55,1.375,4.402,12
Tuolumne,3.665,1,12.76,2
Unknown,NaN,0,NaN,4
Ventura,10.407,8.357,12.808,89
Yolo,4.042,1.9,7.625,9
Yuba,10.158,5.317,19.225,8
Source: CDPH Center for Health Statistics and Informatics Vital Statistics - Multiple Cause of Death or California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,08.12.2023,,
