California Deaths by County -15 to 19 yr olds - 2018 ,,,,
Any Opioid-Related Overdose : Crude Rate per 100k Residents,,,,
County,Rates,95% LCL,95% UCL,Counts
Alameda,4.272,1.502,10.672,Less than six
Alpine,0,0,5269.83,0
Amador,0,0,220.63,0
Butte,0,0,23.55,0
Calaveras,0,0,159.48,0
California,2.083,1.56,2.723,53
Colusa,0,0,230.84,0
Contra Costa,1.37,0.372,7.292,Less than six
Del Norte,0,0,249.42,0
El Dorado,9.008,2.455,47.975,Less than six
Fresno,2.79,0.76,9.71,Less than six
Glenn,0,0,191.93,0
Humboldt,0,0,41.43,0
Imperial,0,0,27.2,0
Inyo,0,0,397.51,0
Kern,1.505,0.41,8.027,Less than six
Kings,0,0,36.29,0
Lake,0,0,107.77,0
Lassen,0,0,243.49,0
Los Angeles,1.908,0.995,3.325,12
Madera,8.992,2.45,47.903,Less than six
Marin,6.628,1.805,35.307,Less than six
Mariposa,0,0,483.47,0
Mendocino,0,0,73.87,0
Merced,0,0,15.46,0
Modoc,0,0,848.02,0
Mono,0,0,491.85,0
Monterey,0,0,11.98,0
Napa,0,0,42.09,0
Nevada,0,0,75.76,0
Orange,1.953,0.89,4.708,Less than six
Placer,0,0,15.06,0
Plumas,0,0,398.37,0
Riverside,2.26,0.975,5.49,Less than six
Sacramento,2.107,0.91,7.068,Less than six
San Benito,0,0,83.5,0
San Bernardino,1.275,0.35,4.45,Less than six
San Diego,2.413,1.013,5.445,Less than six
San Francisco,3.235,0.88,17.227,Less than six
San Joaquin,0,0,6.63,0
San Luis Obispo,0,0,17.16,0
San Mateo,4.855,1.32,16.905,Less than six
Santa Barbara,2.745,0.748,14.625,Less than six
Santa Clara,0,0,3.21,0
Santa Cruz,0,0,16.45,0
Shasta,0,0,35.43,0
Sierra,0,0,3207.72,0
Siskiyou,0,0,156.64,0
Solano,0,0,13.85,0
Sonoma,13.44,4.73,33.542,Less than six
Stanislaus,0,0,9.37,0
Sutter,0,0,56.12,0
Tehama,0,0,94.06,0
Trinity,0,0,657.55,0
Tulare,0,0,9.87,0
Tuolumne,0,0,147.79,0
Unknown,NaN,0,NaN,Less than six
Ventura,5.325,1.455,15.272,Less than six
Yolo,0,0,17.29,0
Yuba,0,0,72.46,0
Source: CDPH Center for Health Statistics and Informatics Vital Statistics - Multiple Cause of Death or California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,08.09.2023,,
