California Deaths by County -15 to 19 yr olds - 2021 ,,,,
Any Opioid-Related Overdose : Crude Rate per 100k Residents,,,,
County,Rates,95% LCL,95% UCL,Counts
Alameda,3.72,1.01,9.51,Less than six
Alpine,0,0,4853.79,0
Amador,0,0,193.95,0
Butte,5.595,1.525,29.795,Less than six
Calaveras,0,0,162.79,0
California,8.531,7.489,9.681,236
Colusa,0,0,207.36,0
Contra Costa,4.18,1.582,11.627,Less than six
Del Norte,0,0,236.62,0
El Dorado,15.25,4.155,53.11,Less than six
Fresno,4.867,1.715,12.148,Less than six
Glenn,0,0,171.1,0
Humboldt,10.002,2.725,53.288,Less than six
Imperial,7.045,1.92,37.532,Less than six
Inyo,0,0,347.68,0
Kern,12.428,5.848,23.453,9
Kings,7.685,2.095,40.94,Less than six
Lake,0,0,99.78,0
Lassen,0,0,258.69,0
Los Angeles,7.385,5.532,9.68,50
Madera,8.363,2.277,44.55,Less than six
Marin,6.16,1.678,32.81,Less than six
Mariposa,0,0,449.32,0
Mendocino,37.835,16.335,126.895,Less than six
Merced,3.933,1.073,20.953,Less than six
Modoc,0,0,655.22,0
Mono,0,0,429.94,0
Monterey,5.928,2.56,19.877,Less than six
Napa,11.037,3.007,58.802,Less than six
Nevada,0,0,74.96,0
Orange,14.908,10.295,20.907,33
Placer,8.475,2.31,29.515,Less than six
Plumas,0,0,353.34,0
Riverside,10.55,6.595,16.252,19
Sacramento,9.095,4.655,16.475,10
San Benito,23.58,6.425,125.608,Less than six
San Bernardino,12.903,8.418,19.233,22
San Diego,9.3,6.008,13.915,22
San Francisco,0,0,10.11,0
San Joaquin,4.988,1.888,13.877,Less than six
San Luis Obispo,27.255,14.085,55.99,6
San Mateo,9.43,3.32,23.543,Less than six
Santa Barbara,7.845,2.138,22.498,Less than six
Santa Clara,5.373,2.515,10.772,7
Santa Cruz,8.425,2.295,29.34,Less than six
Shasta,0,0,33.65,0
Sierra,0,0,2859.6,0
Siskiyou,0,0,150.75,0
Solano,3.26,0.888,17.37,Less than six
Sonoma,15.8,5.308,36.722,Less than six
Stanislaus,2.285,0.622,12.172,Less than six
Sutter,27.93,7.61,97.265,Less than six
Tehama,23.657,6.445,126.025,Less than six
Trinity,0,0,531.54,0
Tulare,5.04,1.375,17.545,Less than six
Tuolumne,0,0,143.42,0
Unknown,NaN,0,NaN,Less than six
Ventura,5.117,1.938,14.235,Less than six
Yolo,0,0,16,0
Yuba,0,0,64.58,0
Source: CDPH Center for Health Statistics and Informatics Vital Statistics - Multiple Cause of Death or California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,08.09.2023,,
